Age,Gender,Job_Role,Working_Hours_Per_Day,Number_of_Projects,Sleep_Hours,Work_Life_Balance_Score,Stress_Level,Overtime_Hours,Years_of_Experience,Satisfaction_Level,Remote_or_Onsite,Burnout_Risk
57,Female,HR Specialist,8.2,3,6.6,7.1,2.2,2.2,29.2,9.6,Hybrid,Medium
56,Female,Sales Executive,7.5,5,7.3,9.6,1.3,0.0,17.8,8.8,Remote,Medium
48,Other,Marketing Executive,5.7,5,8.9,10.0,1.0,0.0,17.4,10.0,Hybrid,Low
52,Female,HR Specialist,7.4,3,8.0,10.0,2.1,0.0,20.1,9.6,Remote,Low
43,Female,Operations Manager,7.6,6,6.9,8.5,3.9,0.0,7.1,9.1,Onsite,Medium
35,Female,Marketing Executive,9.4,1,8.7,8.2,1.0,4.8,3.2,10.0,Hybrid,Medium
21,Male,HR Specialist,4.0,1,6.5,10.0,1.3,0.0,0.0,10.0,Onsite,Low
38,Female,Designer,8.2,2,7.9,8.2,1.0,0.0,11.5,9.2,Hybrid,Low
37,Female,Designer,9.4,2,9.5,8.0,1.0,0.1,8.1,9.9,Onsite,Low
49,Male,Sales Executive,7.7,2,8.2,10.0,1.0,0.0,10.4,10.0,Hybrid,Low
53,Female,Software Engineer,9.5,1,6.9,7.1,1.5,3.1,17.9,7.7,Onsite,Medium
40,Female,Operations Manager,5.4,2,7.7,9.3,1.0,0.0,8.7,9.7,Onsite,Medium
23,Male,Software Engineer,4.3,8,7.2,10.0,2.9,0.0,1.2,10.0,Hybrid,Low
28,Other,Product Manager,5.8,7,6.8,10.0,1.0,0.0,2.2,10.0,Hybrid,Low
57,Female,Marketing Executive,9.5,3,8.2,6.3,2.4,3.8,20.0,8.3,Remote,Low
32,Male,Marketing Executive,8.4,1,6.9,9.2,1.0,3.1,5.1,10.0,Remote,Medium
40,Female,Customer Support,11.1,5,5.0,5.6,5.5,10.2,13.0,7.3,Remote,High
28,Female,Product Manager,8.8,9,9.0,8.1,1.4,1.7,5.9,10.0,Remote,Medium
32,Male,Data Analyst,9.7,2,8.1,7.8,1.1,3.5,6.0,9.3,Remote,Medium
41,Female,Operations Manager,5.3,1,8.2,10.0,1.0,0.0,16.7,8.1,Remote,Low
24,Male,Customer Support,9.3,4,8.7,8.7,1.0,1.6,1.6,9.4,Remote,Medium
26,Male,Customer Support,9.3,7,7.8,6.9,2.0,3.4,4.4,9.7,Remote,Low
39,Female,Finance Analyst,6.5,5,8.3,10.0,2.7,0.0,11.4,8.7,Hybrid,Low
51,Male,Marketing Executive,7.5,2,8.0,8.8,1.0,0.0,15.1,10.0,Remote,Medium
41,Other,Designer,8.3,4,7.4,9.3,2.0,1.2,4.2,10.0,Remote,Low
43,Male,Finance Analyst,10.5,3,6.6,4.5,2.8,8.3,17.4,5.8,Remote,High
38,Female,Marketing Executive,10.3,5,7.2,6.5,3.9,7.0,4.4,9.2,Remote,High
42,Male,Data Analyst,8.6,7,7.4,8.1,1.3,0.7,9.3,9.2,Hybrid,Medium
29,Male,Finance Analyst,8.7,3,8.9,8.8,1.0,1.2,6.0,10.0,Remote,Low
42,Male,HR Specialist,8.2,1,6.3,10.0,2.7,1.5,10.0,10.0,Remote,Low
33,Male,Marketing Executive,7.5,5,8.2,9.8,1.0,0.0,7.0,10.0,Remote,Low
25,Female,Finance Analyst,10.4,3,7.2,6.4,1.0,2.1,1.2,8.1,Remote,Low
35,Male,Marketing Executive,11.0,5,5.4,5.4,4.4,8.3,4.0,8.3,Onsite,High
25,Male,Customer Support,7.1,2,8.4,8.7,1.0,0.0,1.9,9.3,Onsite,Medium
48,Male,Customer Support,6.0,5,9.5,10.0,1.0,0.0,17.2,10.0,Remote,Low
37,Male,HR Specialist,7.2,3,9.5,10.0,1.0,0.0,10.7,10.0,Hybrid,Low
58,Female,Software Engineer,9.2,1,6.9,8.3,1.0,0.1,25.3,9.1,Onsite,Medium
48,Male,Product Manager,6.9,2,8.0,10.0,1.0,0.0,16.7,10.0,Onsite,Low
38,Male,Sales Executive,4.0,2,7.9,10.0,1.0,0.0,6.3,10.0,Onsite,Low
36,Male,Operations Manager,10.1,2,7.2,8.2,1.9,3.0,9.0,7.5,Remote,High
42,Female,Sales Executive,7.6,3,7.5,8.5,1.5,0.0,9.1,9.8,Hybrid,Low
28,Female,Product Manager,6.4,2,9.5,10.0,1.1,0.0,3.5,9.2,Hybrid,Low
24,Male,Marketing Executive,8.5,2,6.8,9.9,4.3,2.5,1.8,8.0,Remote,Medium
38,Female,Customer Support,7.7,3,7.1,10.0,1.0,0.0,13.5,10.0,Remote,Low
59,Male,Sales Executive,8.6,4,8.2,6.7,2.0,2.7,27.0,7.4,Remote,Medium
24,Other,Product Manager,6.6,7,7.6,10.0,1.5,0.0,1.4,10.0,Hybrid,Low
53,Male,Product Manager,10.0,3,7.1,8.4,1.9,5.1,7.4,10.0,Hybrid,Medium
32,Female,HR Specialist,7.2,1,7.7,9.9,1.0,0.0,7.3,10.0,Hybrid,Low
37,Male,Sales Executive,8.5,2,6.0,8.6,1.6,2.4,4.2,9.5,Onsite,Medium
29,Male,Operations Manager,8.7,4,9.2,9.0,3.6,2.6,2.2,9.8,Remote,Medium
41,Female,Finance Analyst,9.4,1,7.2,9.5,1.0,2.5,11.4,10.0,Hybrid,Low
48,Male,HR Specialist,7.9,3,7.3,10.0,1.0,0.0,8.0,10.0,Onsite,Low
27,Female,Software Engineer,6.8,4,7.3,9.7,1.5,0.0,3.5,10.0,Remote,Medium
30,Male,Marketing Executive,10.3,4,8.5,7.7,3.2,6.2,5.3,8.5,Onsite,Medium
48,Male,Finance Analyst,7.5,4,6.8,10.0,2.8,0.0,9.7,9.3,Remote,Medium
34,Male,Sales Executive,6.6,2,7.6,8.8,1.0,0.0,5.7,9.7,Onsite,Low
26,Male,Sales Executive,7.5,1,9.4,10.0,1.0,0.0,3.6,10.0,Hybrid,Low
56,Female,Marketing Executive,8.8,2,7.5,9.4,1.1,3.3,24.7,10.0,Onsite,Low
58,Male,Marketing Executive,6.5,1,7.3,10.0,1.0,0.0,13.0,10.0,Hybrid,Medium
42,Female,HR Specialist,7.8,5,8.6,10.0,3.2,0.0,4.8,8.9,Hybrid,Medium
40,Female,Customer Support,8.3,4,9.2,10.0,1.9,0.0,4.2,8.7,Hybrid,Low
50,Female,Designer,8.2,1,8.0,9.9,1.0,1.3,19.8,9.8,Onsite,Low
24,Female,Data Analyst,6.0,4,7.0,10.0,1.3,0.0,2.5,10.0,Hybrid,Low
51,Male,HR Specialist,8.8,5,7.5,9.6,1.0,0.2,19.8,10.0,Onsite,Low
47,Female,Operations Manager,8.1,3,7.3,10.0,1.0,0.0,15.8,10.0,Onsite,Low
33,Female,Marketing Executive,9.2,3,8.2,8.5,1.0,0.0,9.4,10.0,Onsite,Low
56,Male,HR Specialist,11.9,3,4.8,5.0,5.8,10.9,28.9,6.5,Remote,High
38,Male,Marketing Executive,12.0,1,5.6,3.0,5.0,9.1,8.1,7.4,Remote,High
47,Male,Data Analyst,9.8,2,7.9,9.4,1.0,3.3,11.0,9.7,Hybrid,Low
53,Female,Product Manager,8.2,1,8.5,10.0,1.0,0.5,18.8,10.0,Remote,Low
46,Female,Data Analyst,9.3,1,6.8,7.7,1.0,6.1,13.9,9.2,Hybrid,Medium
22,Female,Marketing Executive,10.7,3,7.2,9.5,1.5,2.6,0.6,9.4,Hybrid,Medium
58,Other,Customer Support,8.5,3,8.1,8.9,1.0,1.7,13.2,10.0,Remote,Low
47,Male,Designer,9.7,4,7.4,8.5,1.0,3.2,18.1,9.6,Remote,Low
52,Male,Operations Manager,9.7,3,6.2,7.7,1.6,3.7,14.8,8.4,Remote,Medium
27,Male,Product Manager,7.9,5,8.1,9.7,2.4,0.8,1.8,10.0,Remote,Low
30,Female,Software Engineer,11.4,1,5.7,3.1,4.2,9.3,2.3,5.0,Hybrid,High
46,Male,Customer Support,7.5,1,7.2,10.0,1.0,0.0,9.2,10.0,Remote,Low
24,Female,Data Analyst,10.8,1,6.3,6.1,3.6,5.2,1.5,8.1,Hybrid,Medium
45,Male,Finance Analyst,8.4,3,8.3,9.5,1.0,0.0,8.4,10.0,Onsite,Low
52,Female,Sales Executive,9.7,2,7.7,8.3,2.2,7.1,25.8,6.9,Onsite,High
28,Female,Sales Executive,8.1,4,8.0,10.0,4.8,1.9,4.7,7.4,Hybrid,Medium
40,Female,Finance Analyst,6.5,5,8.9,9.8,1.0,0.0,9.5,10.0,Hybrid,Low
36,Female,Marketing Executive,5.7,3,8.5,8.3,1.5,0.0,8.9,8.6,Hybrid,Low
55,Male,Software Engineer,9.5,2,7.1,9.9,1.4,2.2,13.2,9.9,Onsite,Low
53,Female,Marketing Executive,12.6,2,3.0,4.4,5.7,12.9,18.2,7.4,Hybrid,High
45,Male,Marketing Executive,8.7,3,6.8,8.6,2.8,4.3,19.5,8.1,Onsite,Medium
57,Female,Customer Support,4.5,2,8.6,10.0,1.0,0.0,7.7,10.0,Onsite,Low
32,Male,Operations Manager,10.5,2,6.5,6.0,1.5,3.8,3.5,8.4,Remote,Medium
33,Male,Operations Manager,12.7,3,5.1,1.8,5.6,12.5,6.2,8.1,Onsite,High
21,Male,Product Manager,10.4,4,8.1,6.3,2.8,5.4,0.0,8.1,Onsite,Medium
22,Male,Software Engineer,12.2,2,6.6,5.2,3.4,5.1,0.3,7.9,Hybrid,High
32,Female,Customer Support,8.4,3,5.3,6.3,2.5,3.4,8.0,8.3,Hybrid,Medium
56,Female,Product Manager,8.4,3,8.8,8.5,1.9,1.0,16.3,10.0,Remote,Low
57,Female,Product Manager,9.0,2,8.0,10.0,1.0,0.0,31.3,9.8,Onsite,Low
32,Female,Product Manager,8.3,5,8.6,9.1,1.0,0.0,9.2,9.8,Hybrid,Low
45,Female,Designer,5.6,1,7.5,8.9,1.0,0.0,19.3,10.0,Remote,Low
34,Male,Data Analyst,7.8,2,9.1,9.1,1.0,0.0,11.0,10.0,Remote,Low
47,Male,Software Engineer,9.0,3,5.8,8.5,2.5,7.6,10.3,10.0,Remote,Medium
34,Male,HR Specialist,8.1,2,8.9,10.0,1.0,0.7,4.7,10.0,Remote,Low
25,Female,Product Manager,7.6,2,9.5,8.1,1.0,0.0,1.0,9.3,Onsite,Low
43,Male,Data Analyst,10.8,2,5.6,7.3,1.5,6.8,12.7,9.4,Remote,Medium
27,Male,Sales Executive,4.7,5,8.0,9.2,2.1,0.0,1.9,7.9,Hybrid,Low
45,Male,Customer Support,6.7,3,8.2,9.6,1.0,0.0,5.8,10.0,Remote,Low
35,Male,Operations Manager,7.0,1,8.1,9.9,1.0,0.0,10.3,10.0,Hybrid,Low
32,Male,Sales Executive,10.0,2,6.5,6.6,1.9,3.2,2.5,8.5,Onsite,Medium
35,Female,Data Analyst,7.4,2,7.5,9.9,1.6,0.3,4.2,10.0,Onsite,Low
45,Female,Data Analyst,10.5,5,5.8,6.9,2.6,6.1,6.6,7.5,Onsite,Medium
35,Female,Designer,9.7,2,8.8,8.4,1.2,1.6,7.8,9.5,Remote,Low
33,Male,Customer Support,8.6,4,9.1,8.8,1.0,0.0,3.2,8.9,Onsite,Low
33,Male,Sales Executive,9.9,3,4.2,8.2,5.8,6.5,7.8,7.6,Remote,High
47,Male,Sales Executive,8.6,2,8.8,9.6,1.0,0.8,14.5,10.0,Onsite,Low
37,Female,Finance Analyst,11.0,2,7.4,6.2,2.9,5.7,14.0,9.5,Remote,High
37,Male,Software Engineer,5.4,9,7.1,9.0,5.5,0.0,12.4,9.9,Onsite,Medium
48,Female,Operations Manager,7.4,1,9.0,10.0,1.0,0.0,18.9,10.0,Onsite,Low
37,Male,Software Engineer,7.0,2,9.5,8.4,1.0,0.0,11.9,9.9,Hybrid,Low
34,Male,Sales Executive,8.1,3,8.3,7.3,1.0,1.1,8.4,8.1,Onsite,Medium
57,Female,Product Manager,8.3,3,8.8,10.0,1.8,1.4,25.5,9.7,Onsite,Low
23,Male,Designer,5.5,2,7.4,10.0,1.0,0.0,1.4,10.0,Onsite,Low
32,Female,Data Analyst,8.2,3,8.8,10.0,1.0,0.0,7.7,10.0,Remote,Low
56,Male,Operations Manager,7.5,2,7.4,10.0,1.0,0.0,25.4,9.3,Hybrid,Low
41,Female,HR Specialist,9.5,5,5.3,9.0,4.1,4.3,9.3,10.0,Hybrid,Medium
32,Male,Marketing Executive,7.5,6,8.2,10.0,1.5,0.0,7.5,10.0,Onsite,Low
36,Female,Marketing Executive,4.3,3,8.3,8.8,1.9,0.0,3.5,10.0,Onsite,Low
59,Male,HR Specialist,6.7,4,7.6,10.0,1.4,0.0,33.7,10.0,Onsite,Low
47,Male,Finance Analyst,8.4,5,9.1,8.5,1.8,1.1,16.7,9.7,Hybrid,Low
44,Male,Data Analyst,6.7,6,8.5,9.1,1.0,0.0,18.9,10.0,Hybrid,Low
38,Male,Product Manager,9.5,4,6.4,8.5,1.0,3.1,7.0,10.0,Onsite,Low
50,Female,Product Manager,6.8,6,7.8,9.8,2.5,1.6,22.9,10.0,Remote,Low
44,Female,Customer Support,10.2,6,6.7,7.5,3.5,3.9,8.8,9.3,Remote,High
46,Female,Product Manager,8.5,6,9.2,10.0,2.0,2.7,7.7,9.8,Onsite,Low
31,Male,HR Specialist,5.7,1,9.0,10.0,1.0,0.0,8.0,10.0,Onsite,Low
57,Female,Product Manager,8.2,3,8.6,9.8,1.0,0.0,28.0,10.0,Remote,Low
22,Female,Product Manager,6.8,3,8.7,10.0,1.0,0.0,0.7,8.8,Remote,Low
30,Female,Operations Manager,8.3,2,7.7,9.4,1.0,1.8,5.8,10.0,Onsite,Low
41,Female,Product Manager,5.6,2,8.6,10.0,1.0,0.0,9.4,10.0,Onsite,Low
47,Female,Software Engineer,8.0,1,7.7,8.4,1.0,1.8,17.4,10.0,Remote,Low
21,Female,Operations Manager,9.5,5,,8.0,4.1,3.3,0.0,9.8,Onsite,Low
43,Male,HR Specialist,6.4,4,7.5,8.0,2.1,0.0,6.8,9.3,Remote,Medium
44,Female,HR Specialist,6.9,5,7.4,9.1,3.6,0.2,13.6,8.0,Onsite,Medium
25,Male,Product Manager,7.4,4,8.3,10.0,1.0,0.0,1.8,10.0,Remote,Low
51,Male,HR Specialist,12.4,3,7.3,5.5,2.0,6.5,18.8,7.7,Hybrid,Medium
25,Female,Customer Support,11.4,8,7.2,7.0,6.8,6.8,0.9,5.7,Onsite,High
57,Male,HR Specialist,9.3,1,8.0,8.5,1.0,2.9,25.0,10.0,Onsite,Low
45,Male,Sales Executive,8.7,7,7.4,10.0,2.2,1.8,7.9,10.0,Onsite,Medium
26,Female,Operations Manager,9.0,2,7.3,7.9,2.1,1.9,3.9,9.6,Onsite,Low
51,Male,Operations Manager,9.0,1,9.2,9.2,1.0,2.0,20.6,9.2,Onsite,Low
37,Female,Data Analyst,9.2,3,7.7,9.9,1.0,3.3,8.1,10.0,Hybrid,Low
41,Male,Marketing Executive,7.6,4,7.3,10.0,2.9,0.0,9.5,10.0,Onsite,Medium
31,Female,Sales Executive,11.1,3,5.0,3.4,8.2,10.3,2.2,6.8,Remote,High
36,Female,HR Specialist,9.7,2,7.1,9.2,2.6,4.5,4.2,10.0,Onsite,Medium
49,Male,Designer,9.3,1,7.3,9.2,1.0,2.9,10.0,8.0,Remote,Medium
34,Female,Sales Executive,8.3,2,5.6,8.9,2.1,1.5,3.8,8.9,Hybrid,Low
54,Female,Finance Analyst,9.2,5,8.2,10.0,1.0,0.1,7.9,9.9,Hybrid,Low
31,Female,Finance Analyst,7.9,4,9.5,9.0,1.1,1.5,8.5,9.1,Remote,Low
28,Female,Designer,8.0,1,6.5,9.4,1.0,2.5,6.2,8.4,Onsite,Low
25,Female,Marketing Executive,7.3,3,7.2,9.3,1.0,2.7,1.4,10.0,Onsite,Medium
54,Male,Operations Manager,7.6,1,8.9,9.0,1.0,0.0,22.1,9.3,Remote,Low
27,Female,Product Manager,4.1,3,8.3,10.0,1.0,0.0,3.6,10.0,Onsite,Low
35,Male,Product Manager,7.9,1,7.4,8.5,1.0,0.5,5.4,10.0,Hybrid,Low
55,Male,Customer Support,9.7,4,6.1,10.0,1.9,2.4,13.6,9.5,Onsite,Medium
36,Female,Customer Support,6.9,2,7.5,10.0,2.4,0.0,3.7,9.9,Onsite,Low
22,Male,Sales Executive,9.2,1,9.1,9.0,1.0,2.5,0.4,8.9,Remote,Low
27,Female,Software Engineer,7.4,3,9.4,10.0,1.4,0.0,1.8,9.4,Onsite,Low
27,Male,Sales Executive,7.5,2,7.5,8.5,1.0,0.0,3.0,10.0,Hybrid,Low
33,Male,Marketing Executive,7.9,2,9.4,9.3,1.0,0.4,3.3,10.0,Hybrid,Low
39,Male,Finance Analyst,6.8,6,8.6,10.0,2.0,0.0,8.2,10.0,Remote,Low
31,Female,Software Engineer,4.8,6,8.8,8.9,1.0,0.0,6.0,7.4,Onsite,Low
42,Female,Customer Support,5.1,4,7.9,7.9,1.0,0.0,11.6,7.3,Onsite,Low
45,Female,HR Specialist,7.0,4,8.6,9.5,1.0,0.0,13.8,8.5,Onsite,Low
51,Female,Designer,9.2,3,4.7,6.2,2.0,4.0,17.5,10.0,Remote,Medium
53,Female,Customer Support,8.7,2,8.4,9.6,1.4,2.4,26.0,10.0,Hybrid,Low
27,Female,Data Analyst,8.7,4,7.5,9.8,1.0,3.0,3.1,10.0,Hybrid,Low
25,Female,Sales Executive,5.8,2,7.5,10.0,1.0,0.0,3.0,10.0,Onsite,Low
38,Female,Designer,8.9,4,7.5,9.6,1.2,0.4,10.2,10.0,Onsite,Low
43,Male,Data Analyst,11.8,2,4.6,2.7,6.6,11.5,12.6,6.7,Onsite,High
37,Male,Product Manager,6.0,5,7.8,9.0,1.0,0.0,4.1,9.3,Onsite,Medium
39,Female,Customer Support,6.4,2,9.5,10.0,1.0,0.0,5.3,10.0,Remote,Low
50,Female,Data Analyst,7.3,1,9.2,10.0,1.0,0.0,15.0,10.0,Hybrid,Low
32,Male,Marketing Executive,6.0,1,8.5,9.2,1.0,0.0,2.8,9.4,Onsite,Low
41,Other,Operations Manager,7.8,3,7.9,9.7,1.6,0.3,4.4,10.0,Hybrid,Low
28,Male,Sales Executive,6.7,1,8.6,9.9,1.0,0.0,3.6,9.3,Onsite,Low
21,Male,Customer Support,6.4,3,9.1,7.3,1.0,0.0,0.0,8.4,Hybrid,Low
25,Female,Sales Executive,8.8,4,8.8,10.0,1.2,0.8,0.9,10.0,Onsite,Low
41,Female,Marketing Executive,6.8,2,9.5,10.0,1.0,0.0,7.6,9.2,Onsite,Low
28,Male,Customer Support,12.0,2,4.5,4.1,4.5,11.5,1.6,5.6,Onsite,High
58,Male,Customer Support,9.6,1,6.6,7.0,2.8,4.1,8.2,9.5,Hybrid,Medium
37,Male,Data Analyst,6.6,6,7.3,8.0,4.9,0.0,12.3,8.8,Onsite,Medium
25,Female,Software Engineer,5.6,4,7.3,10.0,1.0,0.0,2.6,7.5,Hybrid,Medium
22,Female,Customer Support,9.4,2,8.5,8.0,1.0,3.4,0.8,9.6,Onsite,Low
55,Male,Operations Manager,10.0,4,7.4,7.1,3.2,2.8,19.9,8.2,Remote,Medium
52,Female,HR Specialist,9.3,2,7.5,9.8,1.0,0.8,18.4,10.0,Onsite,Medium
25,Female,Sales Executive,9.5,3,9.2,7.7,1.0,2.1,0.8,10.0,Remote,Low
28,Female,Sales Executive,7.0,2,7.9,8.8,1.0,0.0,6.0,9.2,Onsite,Low
53,Female,Customer Support,8.8,4,7.9,10.0,2.6,3.2,10.0,9.3,Onsite,Medium
56,Female,Operations Manager,9.2,2,7.9,8.3,1.8,2.6,7.3,9.0,Remote,Medium
51,Male,Designer,6.7,4,7.7,10.0,1.0,0.0,21.7,9.4,Onsite,Low
24,Male,Product Manager,6.9,4,7.2,10.0,1.0,0.0,0.7,9.1,Onsite,Low
34,Male,Customer Support,9.7,1,6.4,9.0,3.8,4.0,8.1,8.4,Remote,Medium
45,Female,Customer Support,6.0,1,8.5,9.5,1.0,0.0,8.5,9.4,Hybrid,Low
45,Female,Finance Analyst,10.5,7,6.6,7.4,6.7,8.7,8.7,8.1,Remote,High
56,Female,Sales Executive,8.5,7,8.4,8.4,2.3,1.0,24.8,9.2,Remote,Low
46,Female,Operations Manager,6.5,4,9.5,8.5,1.0,0.0,15.3,10.0,Onsite,Low
33,Female,HR Specialist,7.3,7,6.6,10.0,1.0,0.0,3.1,10.0,Remote,Low
54,Male,Data Analyst,8.3,3,8.6,10.0,1.0,0.4,15.9,10.0,Onsite,Medium
23,Other,Customer Support,6.9,3,8.8,10.0,1.8,0.0,1.2,9.8,Hybrid,Low
43,Male,Marketing Executive,9.0,3,8.6,7.7,1.8,3.8,8.2,7.6,Remote,Medium
42,Male,Marketing Executive,6.9,2,7.5,9.0,1.0,0.0,18.7,10.0,Onsite,Low
41,Male,Marketing Executive,9.4,3,6.3,8.0,4.5,5.2,10.9,6.9,Hybrid,High
34,Male,Operations Manager,8.6,4,7.3,7.2,3.5,1.4,5.7,9.9,Hybrid,Medium
21,Female,Customer Support,9.5,2,7.4,10.0,1.0,4.3,0.0,10.0,Remote,Low
29,Male,Designer,5.2,2,8.8,10.0,1.0,0.0,5.3,10.0,Remote,Low
34,Female,Finance Analyst,11.1,1,7.3,2.3,2.4,9.0,6.8,6.9,Onsite,High
58,Male,HR Specialist,9.3,3,4.9,4.7,3.6,5.3,20.2,6.7,Onsite,High
31,Male,Finance Analyst,6.8,1,9.3,10.0,1.0,0.3,6.1,9.1,Hybrid,Low
33,Female,Operations Manager,11.0,1,5.9,4.8,4.2,9.9,7.7,6.6,Onsite,High
53,Male,Operations Manager,7.9,3,9.4,7.9,1.0,0.6,9.6,8.9,Remote,Low
54,Male,HR Specialist,8.9,1,8.5,9.1,1.0,1.6,13.8,8.0,Hybrid,Low
28,Male,Finance Analyst,6.7,5,9.0,9.5,1.0,0.0,1.6,9.6,Remote,Low
53,Female,Software Engineer,8.5,4,7.9,8.7,1.3,0.0,24.7,10.0,Remote,Medium
56,Male,Data Analyst,7.1,4,8.8,10.0,1.0,0.0,26.8,10.0,Onsite,Low
26,Male,HR Specialist,11.5,4,7.0,5.9,4.5,8.6,2.4,8.9,Onsite,High
42,Female,Designer,10.9,1,7.1,6.8,1.3,2.9,11.9,9.5,Hybrid,Medium
59,Male,HR Specialist,5.6,4,8.7,10.0,1.0,0.0,12.9,9.5,Onsite,Low
59,Male,Data Analyst,6.7,5,7.5,8.5,1.0,0.0,27.2,10.0,Hybrid,Low
21,Male,Designer,8.0,4,6.7,8.3,1.2,4.3,0.0,9.0,Onsite,Medium
28,Female,Operations Manager,8.2,3,8.6,10.0,1.0,0.0,4.5,9.6,Hybrid,Low
49,Male,Software Engineer,7.0,5,8.4,8.7,2.8,0.0,18.9,6.7,Onsite,Low
25,Male,Designer,10.4,3,6.8,5.2,2.3,6.7,2.8,8.1,Remote,Medium
51,Male,Data Analyst,7.6,1,8.6,9.8,1.0,0.0,12.8,10.0,Onsite,Low
31,Male,Marketing Executive,8.5,4,7.8,10.0,2.2,0.0,2.5,6.7,Remote,Low
30,Female,Software Engineer,7.0,4,9.4,10.0,1.1,0.0,7.3,9.9,Onsite,Low
57,Male,Finance Analyst,9.3,1,9.0,9.7,1.0,3.7,27.2,9.9,Remote,Low
41,Male,Marketing Executive,7.5,2,8.1,10.0,1.0,0.1,5.7,10.0,Onsite,Low
23,Male,Data Analyst,7.0,4,9.4,9.9,1.0,0.0,1.1,10.0,Onsite,Low
42,Male,Product Manager,7.6,2,8.6,9.6,1.0,0.0,16.7,10.0,Hybrid,Medium
24,Male,Sales Executive,6.4,2,9.1,10.0,1.0,0.0,2.4,10.0,Onsite,Low
28,Male,Product Manager,5.7,1,8.8,10.0,1.0,0.0,4.8,10.0,Onsite,Low
27,Female,Sales Executive,6.2,3,9.5,10.0,1.0,0.0,2.6,10.0,Remote,Low
34,Female,Customer Support,7.5,5,7.8,10.0,1.0,0.7,10.8,10.0,Remote,Medium
30,Female,Sales Executive,6.2,4,8.4,9.5,2.0,0.0,3.3,9.5,Hybrid,Low
55,Male,Designer,9.6,3,6.6,7.1,3.7,2.1,28.7,8.6,Onsite,Medium
33,Female,Operations Manager,4.8,3,6.7,10.0,2.0,0.0,7.5,9.5,Remote,Low
47,Female,Customer Support,11.1,3,6.4,4.6,5.6,6.0,21.3,5.9,Hybrid,High
39,Female,Operations Manager,10.1,1,8.2,5.3,1.0,5.8,6.8,8.4,Onsite,Low
44,Male,Marketing Executive,9.9,4,7.2,6.2,2.2,4.9,9.0,8.8,Remote,High
57,Female,Designer,9.4,3,8.1,8.3,1.5,2.0,17.0,10.0,Remote,Low
51,Male,Operations Manager,9.4,2,6.2,6.6,2.7,4.5,16.5,7.0,Hybrid,Medium
56,Male,Designer,8.6,6,9.0,10.0,1.0,0.0,7.8,9.2,Onsite,Low
43,Male,Data Analyst,8.5,5,8.9,9.6,1.0,1.6,6.9,10.0,Hybrid,Low
47,Other,Sales Executive,6.0,3,5.8,9.0,1.2,0.0,9.1,8.8,Remote,Medium
38,Female,HR Specialist,11.6,2,6.1,9.1,2.2,4.6,13.1,9.3,Hybrid,Medium
47,Male,HR Specialist,5.8,3,7.4,10.0,2.2,0.0,10.0,9.7,Onsite,Medium
44,Male,Product Manager,10.5,3,8.5,7.1,3.1,2.2,11.8,8.0,Onsite,Medium
26,Female,HR Specialist,7.9,2,6.4,10.0,1.0,2.7,1.0,9.2,Remote,Low
25,Male,Designer,12.6,3,7.2,4.4,4.6,9.3,0.9,7.7,Hybrid,Medium
33,Female,HR Specialist,6.6,2,8.2,8.2,1.0,0.0,6.5,10.0,Hybrid,Low
37,Female,Finance Analyst,8.0,3,8.1,10.0,1.8,1.7,11.8,9.7,Hybrid,Low
37,Other,Product Manager,8.1,6,7.8,10.0,1.1,0.0,13.1,10.0,Onsite,Low
51,Male,Finance Analyst,10.7,4,6.4,7.4,3.1,6.8,8.8,7.6,Hybrid,High
24,Male,Data Analyst,9.6,1,6.5,8.8,2.8,4.3,2.5,10.0,Remote,Medium
58,Female,HR Specialist,9.5,3,6.9,5.8,1.4,5.4,18.5,8.7,Hybrid,Medium
38,Female,Finance Analyst,11.7,4,7.3,,1.6,5.1,6.5,10.0,Remote,Low
46,Male,Finance Analyst,7.7,5,7.7,9.5,1.0,0.0,20.2,9.7,Onsite,Low
49,Male,Software Engineer,4.3,2,8.3,9.3,1.0,0.0,17.6,9.0,Remote,Low
56,Female,Designer,5.5,2,8.6,9.5,1.0,0.0,17.7,10.0,Remote,Low
49,Female,Data Analyst,7.0,5,9.5,8.9,1.0,0.0,7.1,9.4,Remote,Low
39,Female,Data Analyst,10.1,2,6.2,6.7,4.2,4.8,6.2,7.3,Hybrid,High
28,Female,HR Specialist,7.3,5,8.3,8.0,3.2,0.0,3.4,8.6,Onsite,Medium
24,Female,Product Manager,9.2,3,7.2,8.4,1.8,3.3,1.8,10.0,Hybrid,Medium
21,Male,Sales Executive,8.8,3,6.6,7.6,2.9,4.0,0.0,8.5,Onsite,Low
49,Female,Sales Executive,7.5,3,7.5,10.0,1.0,0.0,21.6,9.7,Onsite,Low
44,Male,Marketing Executive,7.8,4,8.2,9.8,1.0,1.8,9.8,9.2,Onsite,Low
56,Female,Sales Executive,10.5,5,6.8,5.4,3.9,6.4,12.4,6.0,Remote,High
55,Other,Designer,8.2,2,8.7,10.0,1.0,0.3,22.0,9.5,Onsite,Low
58,Male,Customer Support,9.5,4,8.9,7.5,1.0,4.0,25.6,10.0,Remote,Medium
21,Other,Designer,11.9,2,5.3,4.0,5.0,12.7,0.0,7.5,Remote,High
49,Female,Software Engineer,7.0,7,8.1,10.0,1.2,0.0,13.4,10.0,Onsite,Low
